genre,popularity,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence
Dance,50.0,0.0761,0.555,202440.0,0.87,0.099,-2.899,0.0657,150.119,0.397
Dance,47.0,0.000159,0.703,174867.0,0.713,0.0922,-8.92,0.0758,138.732,0.908
Dance,48.0,0.0678,0.767,347347.0,0.787,0.43,-8.28,0.0566,121.102,0.839
Dance,48.0,0.514,0.426,172678.0,0.579,0.111,-9.045,0.429,170.919,0.456
Dance,47.0,0.0936,0.599,186120.0,0.9,0.0888,-3.144,0.136,100.014,0.394
Dance,41.0,0.0278,0.845,204493.0,0.935,0.37,-3.262,0.0671,129.943,0.962
Dance,46.0,0.104,0.732,282173.0,0.42,0.509,-7.204,0.0397,117.02,0.311
Dance,46.0,0.0917,0.416,209840.0,0.782,0.105,-5.67,0.226,75.451,0.602
Dance,47.0,0.253,0.692,365560.0,0.601,0.103,-6.831,0.0775,130.06,0.265
Electronic,65.0,0.0657,0.642,182400.0,0.933,0.087,-2.887,0.0871,150.039,0.158
Electronic,61.0,0.0324,0.803,299133.0,0.722,0.0763,-6.421,0.0377,139.981,0.857
Electronic,52.0,0.0319,0.479,257045.0,0.675,0.128,-4.893,0.0413,145.022,0.189
Electronic,55.0,0.0226,0.422,288933.0,0.606,0.15,-7.549,0.0276,158.014,0.148
Electronic,50.0,0.112,0.577,252308.0,0.791,0.111,-5.479,0.19,156.09,0.059
Electronic,54.0,0.322,0.64,322133.0,0.867,0.0688,-7.93,0.0579,174.711,0.413
Electronic,62.0,0.0928,0.88,191685.0,0.67,0.064,-9.237,0.217,116.016,0.235
Electronic,51.0,0.0358,0.384,181107.0,0.853,0.51,-5.412,0.275,136.813,0.749
Electronic,53.0,0.503,0.714,243373.0,0.689,0.1,-6.538,0.04,95.035,0.883
Electronic,56.0,0.0262,0.86,174375.0,0.956,0.183,-1.611,0.0727,128.013,0.0794
Electronic,45.0,0.0225,0.927,133070.0,0.719,0.1,-4.208,0.0885,100.958,0.187
Electronic,44.0,0.00926,0.612,211200.0,0.731,0.151,-9.147,0.165,150.005,0.744
Electronic,45.0,0.000431,0.521,268800.0,0.989,0.205,-0.847,0.182,150.101,0.354
Electronic,53.0,0.026,0.465,311333.0,0.989,0.888,-5.635,0.163,117.751,0.0879
Electronic,46.0,0.0053,0.43,195200.0,0.909,0.114,-6.198,0.102,149.769,0.417
Electronic,49.0,0.0338,0.552,317400.0,0.554,0.127,-8.703,0.027,101.319,0.451
Electronic,42.0,0.0068,0.241,211225.0,0.698,0.535,-5.51,0.0557,99.95,0.323
Electronic,55.0,0.000107,0.793,372555.0,0.851,0.032,-6.303,0.0599,120.002,0.62
Electronic,40.0,0.00399,0.579,241702.0,0.79,0.101,-4.683,0.0468,144.998,0.233
Electronic,43.0,0.729,0.49,343607.0,0.524,0.0803,-13.911,0.0357,94.986,0.0929
Electronic,41.0,0.005,0.621,276700.0,0.949,0.666,-2.189,0.0837,74.984,0.0398
Electronic,49.0,0.0258,0.874,238533.0,0.66,0.187,-6.699,0.0545,114.005,0.845
Electronic,39.0,0.00491,0.68,298347.0,0.793,0.127,-6.911,0.0474,130.251,0.121
Electronic,37.0,0.304,0.655,251686.0,0.748,0.515,-6.171,0.043,146.052,0.374
Electronic,36.0,0.055,0.651,240009.0,0.418,0.103,-9.306,0.0352,139.997,0.104
Electronic,42.0,0.259,0.721,173728.0,0.607,0.0734,-7.283,0.253,160.211,0.554
Electronic,31.0,0.0576,0.596,265600.0,0.898,0.0752,-10.903,0.0623,134.973,0.35
Electronic,38.0,0.0246,0.563,219000.0,0.975,0.137,-1.985,0.0598,160.095,0.826
Electronic,39.0,0.00457,0.79,503027.0,0.844,0.0993,-9.929,0.0692,126.017,0.777
Electronic,41.0,0.00317,0.716,243750.0,0.899,0.362,-5.638,0.0525,128.004,0.486
Electronic,39.0,0.0122,0.514,211765.0,0.907,0.115,-3.831,0.0619,136.105,0.27
