property_type,property_bedrooms,property_rooms,property_surface_total,property_surface_covered,latitud,longitud,tipo_precio
Departamento,2.0,3.0,57.0,49.0,-34.5626971214,-58.4585094452,medio
Departamento,1.0,1.0,44.0,34.0,-34.6168796,-58.4497625,medio
PH,3.0,4.0,111.0,80.0,-34.5870815,-58.4768295,medio
Departamento,4.0,6.0,206.0,185.0,-34.563442,-58.4485716,alto
Departamento,1.0,1.0,44.0,33.0,-34.5422956,-58.4642452,alto
Departamento,2.0,3.0,58.0,55.0,-34.6373187,-58.361124,bajo
Departamento,1.0,2.0,48.0,40.0,-34.5939260291,-58.4409423031,bajo
Departamento,1.0,2.0,36.0,36.0,-34.6110046,-58.4003214,medio
Departamento,3.0,4.0,128.0,95.0,-34.5931178,-58.4087092,medio
Departamento,2.0,3.0,86.0,70.0,-34.5717503,-58.4860034,alto
PH,3.0,4.0,172.0,99.0,-34.5780192,-58.465581,medio
PH,2.0,3.0,77.0,77.0,-34.603343,-58.428807,medio
Departamento,1.0,2.0,31.0,31.0,-34.5961293,-58.3736561,medio
Departamento,1.0,2.0,40.0,40.0,-34.634932,-58.4809876,bajo
Departamento,2.0,3.0,164.08097740321668,150.0,-34.615607,-58.3627542,alto
Departamento,1.0,2.0,47.0,40.0,-34.5472767,-58.4697556,medio
Departamento,2.0,4.0,120.0,117.0,-34.5980948,-58.3948783,medio
Departamento,1.0,1.0,43.0,37.0,-34.615559,-58.384181,bajo
Departamento,2.0,3.0,51.0,51.0,-34.6024838095,-58.4082794863,medio
Departamento,2.0,3.0,130.0,100.0,-34.5750481,-58.4207433,alto
Departamento,1.0,3.0,147.0,117.0,-34.5906171115,-58.3868502297,alto
Departamento,1.0,1.0,30.0,25.0,-34.5791632,-58.4557246,medio
Departamento,1.0,1.0,30.0,30.0,-34.5679223,-58.4543918,medio
PH,2.0,3.0,103.0,89.0,-34.6397664,-58.4416882,bajo
Departamento,1.0,1.0,42.0,36.0,-34.5841372,-58.4461245,medio
Departamento,1.0,1.0,39.0,5.0,-34.6101087,-58.4507912,medio
Departamento,2.0,3.0,77.0,68.0,-34.6089799185,-58.4256799218,medio
Departamento,2.0,3.0,61.0,59.0,-34.6056264,-58.3911576,bajo
PH,1.0,2.0,78.0,65.0,-34.6063244,-58.4959781,medio
Departamento,1.0,1.0,31.0,26.0,-34.6030687,-58.4079078,medio
Departamento,2.0,3.0,92.0,80.0,-34.5610112,-58.4709353,alto
Departamento,1.0,2.0,51.0,46.0,-34.5565253,-58.4590675,alto
Departamento,2.0,3.0,100.0,75.0,-34.6386835,-58.5089274,medio
Departamento,1.0,2.0,40.0,39.0,-34.5914922,-58.4128967,medio
Departamento,1.0,2.0,111.0,48.0,-34.563048175,-58.4876139906,bajo
Departamento,3.0,4.0,112.0,96.0,-34.6036853,-58.4305495,medio
Departamento,3.0,4.0,107.0,97.0,-34.589683,-58.4082926,bajo
Departamento,2.0,3.0,70.0,67.0,-34.5681777,-58.433797,medio
Departamento,1.0,1.0,34.0,34.0,-34.6037123,-58.4661867,medio
Departamento,3.0,4.0,92.49843836200702,67.0,-34.5905033,-58.4088623,medio
Departamento,2.0,3.0,78.0,65.0,-34.5832277302,-58.4106373787,alto
Departamento,3.0,4.0,71.0,71.0,-34.5513743,-58.4723698,medio
